IMAGE_ID,LAST_UPDATED,DEF_HEX,SHADOW,NEEDS_UPDATE
1100115,2021-10-13 21:04:12,1641b8,1,false
940,2022-02-15 09:37:13,ffffff,1,false
765,2021-07-29 20:05:04,3151c0,1,false
1223,2022-09-30 19:20:39,ffffff,1,false
2186,2022-02-15 09:37:16,fdd7a4,1,false
190213,2021-09-29 19:07:47,ffffff,1,false
141559,2022-01-16 14:07:03,e0dddc,1,false
140658,2021-05-18 11:52:18,22325b,1,false
1502,2021-05-03 11:56:53,383533,1,false
1301,2021-08-04 22:16:38,2d0f05,1,false
814,2021-07-05 10:40:15,000000,1,false
1865,2021-05-03 11:56:01,383533,1,false
140723,2022-02-10 16:03:26,ded0b6,1,false
1381,2021-05-21 11:33:39,c6cacc,1,false
1300,2021-10-05 23:23:50,64646b,1,false
190240,2021-07-05 09:45:33,000000,1,false
142138,2021-10-30 14:29:22,1e7ae0,1,false
1050,2022-01-18 15:44:08,2451a8,1,false
950,2022-04-26 12:08:21,ffffff,1,false
1867,2022-02-22 09:57:18,5e77a7,1,false
140014,2021-06-30 11:04:21,ffffff,1,false
2067,2021-07-05 10:50:22,ffffff,1,false
140833,2021-11-03 15:34:38,21140c,1,false
160039,2021-05-14 13:50:44,000000,1,false
692,2021-06-28 11:03:36,df0400,1,false
141735,2021-10-17 10:32:27,750c1b,1,false
190670,2022-02-21 12:41:38,22284c,1,false
141731,2021-10-04 08:58:09,750c1b,1,false
1125,2021-07-01 12:52:55,000000,1,false
140704,2021-06-30 10:32:56,ffffff,1,false
747,2021-11-18 09:14:41,000000,1,false
1474,2021-07-29 19:54:01,000000,1,false
551,2022-01-06 15:06:21,000000,1,false
1500021,2021-09-21 18:23:58,000000,1,false
140661,2021-08-05 14:44:57,000000,1,false
753,2021-10-17 10:32:15,0d3bbd,1,false
458,2022-02-15 09:37:16,ffffff,1,false
677,2021-07-30 10:34:34,f0f1f2,1,false
140701,2022-02-16 09:31:57,ffffff,1,false
1370,2021-05-18 12:43:59,d6d3d2,1,false
141901,2021-05-31 08:10:00,000000,1,false
1511,2021-05-04 09:59:10,ffffff,1,false
925,2021-11-18 09:14:27,c6c7ce,1,false
141533,2021-05-03 11:52:59,5a666d,1,false
141298,2021-03-26 09:55:43,000000,1,false
141665,2021-05-18 16:14:50,c4daf2,1,false
100045,2021-05-21 11:56:51,000000,1,false
1000101,2022-11-10 09:58:55,5a666d,1,false
1623,2022-02-15 09:37:14,ffffff,1,false
100008,2021-05-04 09:47:56,ffffff,1,false
2267,2022-02-15 09:37:12,fdd7a4,1,false
1142,2022-01-16 14:07:03,e0dddc,1,false
605,2021-07-29 14:54:03,000000,1,false
190300,2021-08-13 15:38:51,d8d9d9,1,false
720,2021-07-05 10:06:08,d8d9d9,1,false
1613,2021-08-12 07:54:04,810000,1,false
10001003,2021-07-28 12:02:40,e0dddc,1,false
100002,2021-11-15 12:47:56,383533,1,false
1100093,2022-11-10 09:59:14,5a666d,1,false
583,2021-08-12 07:54:03,dfe6f2,1,false
141667,2021-06-30 10:56:59,ffffff,1,false
190167,2022-11-04 13:36:27,1e7ae0,1,false
141501,2021-05-21 11:22:38,c6cacc,1,false
710,2021-08-12 07:54:08,ffffff,1,false
1100145,2021-06-17 12:34:36,ffc400,1,false
426,2022-08-16 12:05:21,000000,1,false
142087,2021-07-19 08:53:27,ffffff,1,false
1100092,2022-11-10 09:58:59,5a666d,1,false
140274,2022-11-10 09:58:59,000000,1,false
140475,2021-08-05 14:45:00,682318,1,false
840,2021-07-28 12:02:48,e0dddc,1,false
190211,2021-08-06 09:17:13,000000,1,false
1100139,2021-10-07 20:33:19,000000,1,false
151036,2022-01-06 15:06:21,000000,1,false
503,2022-02-15 09:37:14,fdd7a4,1,false
142080,2021-07-19 08:53:17,d6d3d2,1,false
1100105,2021-07-19 08:53:06,c8bbaf,1,false
1000005,2021-07-30 10:34:30,0f2b9d,1,false
1181,2021-05-18 12:40:34,d6d3d2,1,false
1000200,2022-01-06 15:06:21,dbdad9,1,false
140706,2022-02-16 09:32:06,ffffff,1,false
142139,2021-10-31 15:45:00,f4efeb,1,false
1000077,2021-05-21 11:56:30,000000,1,false
703,2021-07-29 14:54:00,e00000,1,false
468,2022-02-21 12:41:35,000000,1,false
140745,2021-08-12 07:54:02,c41d06,1,false
1000053,2021-08-04 22:16:38,b14a00,1,false
142420,2022-02-16 09:32:01,dbdad9,1,false
1000309,2021-05-21 11:56:00,000000,1,false
141539,2021-05-03 11:52:59,5a666d,1,false
1819,2021-07-23 08:36:42,ffffff,1,false
141299,2021-03-30 21:05:37,000000,1,false
160072,2022-11-04 13:36:48,000000,1,false
670,2021-07-28 12:02:38,081d47,1,false
141749,2021-05-27 00:21:24,cacfd4,1,false
2603,2021-07-28 12:02:44,fdd7a4,1,false
141310,2021-05-14 13:38:54,fdd7a4,1,false
141537,2021-06-07 12:00:56,fdd7a4,1,false
1000322,2022-01-18 15:44:06,1498ef,1,false
756,2021-07-06 09:41:06,846c65,1,false
141772,2021-06-08 10:54:49,000000,1,false
142142,2021-10-31 14:53:00,000000,1,false
142134,2021-08-13 06:40:31,ffffff,1,false
141904,2021-05-27 00:21:22,ffffff,1,false
142725,2022-09-14 10:03:45,ffffff,1,false
141750,2022-02-10 16:03:26,7a877d,1,false
140420,2022-02-16 09:32:02,ffffff,1,false
140744,2021-05-03 11:55:31,c41d06,1,false
142151,2021-08-18 16:35:08,99a6b1,1,false
1126,2021-07-01 12:52:55,000000,1,false
142143,2021-10-31 14:53:00,000000,1,false
1817,2021-05-04 10:07:21,fdd7a4,1,false
190002,2021-10-07 20:33:21,0e64d8,1,false
2155,2022-02-24 10:56:14,1c52b4,1,false
190186,2022-01-10 11:04:51,735753,1,false
140109,2021-08-05 14:45:00,000000,1,false
141304,2021-03-30 20:32:35,d3def3,1,false
1809,2022-02-15 09:37:17,ffffff,1,false
672,2021-07-28 12:02:47,081d47,1,false
190177,2022-09-30 19:20:57,c8bbaf,1,false
142150,2021-08-18 11:25:44,000000,1,false
2080,2021-05-14 14:01:46,bacacd,1,false
1000054,2022-09-30 19:20:55,c8bbaf,1,false
1000100,2022-11-10 09:59:01,5a666d,1,false
2372,2021-07-01 12:52:55,206bf3,1,false
190043,2021-06-11 11:51:06,ffffff,1,false
140671,2022-02-14 09:51:33,1b050e,1,false
142090,2023-05-23 09:49:53,0c4fd4,1,false
141086,2021-06-29 13:05:12,ffffff,1,false
883,2021-11-18 09:14:12,000000,1,false
2727,2021-05-21 12:34:25,f4f1dc,1,false
1114,2021-08-19 23:54:58,f4f1dc,1,false
1163,2021-11-01 15:57:25,000000,1,false
1100187,2022-11-15 11:34:10,6a788c,1,false
140037,2021-07-05 11:47:15,dfe6e9,1,false
140542,2023-04-10 09:42:39,ffffff,1,false
190523,2022-09-06 20:58:56,000000,1,false
